udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******09807 Operational,,(01206) COLLEGE OF EXCELLENCE MALLI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,1-Boys,1-Rural,Seethampeta,Kusimi,,,MALLI SEETHAMPETA SRIKAKULAM 532443,532443,aptwrjcoe.malli[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651792/12,4651792,28/09/2024 15:31,1992
******01817 Operational,,(01252) SRI SAI TEJA JR.COLLEGE VEERAGHATTAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Veeraghattam,Veeraghattam,,,VEERAGHATTAM VEERAGHATTAM MANDAL,532460,,https://kys.udiseplus.gov.in/#/schooldetail/4650621/12,4650621,20/12/2025 14:27,1992
******01818 Operational,,(01253) GOVT. JR. COLLEGE VEERAGHATTAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Veeraghattam,Veeraghattam,,,Government Junior College VeeraghatamSrikakulam Dist Near Sivalayam Temple,532460,gjcvgtm123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650622/12,4650622,20/12/2025 14:27,1992
******02705 Operational,,(24004) VEVEKAVARDHINI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Seethanagaram,Chinabhogila,,,CHINABHOGILI VILLAGE SEETHANAGARAM MANDAL VIZIANAGARAM DISTRICT 535546,535546,v31138[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655480/12,4655480,09/01/2026 11:03,1992
******02213 Operational,,(24006) GOVT JUNIOR COLLEGE SEETHANAGARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Seethanagaram,Pedabhogila,,,NEAR POLICE STATION SEETHANAGARAM,535546,principal.gjcstnm[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655470/12,4655470,09/01/2026 11:00,1992
******02212 Operational,,(24011) GAYATRI VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Seethanagaram,Pedabhogila,,,Near RTC Complex Main road seethanagaram,535546,,https://kys.udiseplus.gov.in/#/schooldetail/4655468/12,4655468,09/01/2026 11:00,1992
******00105 Operational,,(24021) GOVT.JUNIOR COLLEGE BALIJIPETA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Balijipeta,Palagara,,,GOVERNMENT JUNIOR COLLEGE BALIJIPETA VIZIANAGARAM DIST,535557,,https://kys.udiseplus.gov.in/#/schooldetail/4655510/12,4655510,20/12/2025 13:50,1992
******02007 Closed,Closed,(24022) RANGAMUDRI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Balijipeta,Chilkalapalle,,,CHILAKALAPALLI,535557,rangumudrijuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655537/12,4655537,12/11/2024 19:17,1992
******01605 Operational,,(24023) P S N JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Balijipeta,Vengapuram,,,Vengapuram.balijipeta mandal,535557,psnjrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655528/12,4655528,20/12/2025 14:03,1992
******00102 Operational,,(24033) GOVT. JR. COLLEGE MAKKUVA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Makkuva,Makkuva,,,OPPOSITE STATE BANK OF INDIA MAKKUVA,535547,principaljuniorcollegemakkuva[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655341/12,4655341,22/12/2025 14:05,1992
******04727 Operational,,(24034) RAJU JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Makkuva,Makkuva,,,MAIN ROAD MAKKUVA MAKKUVA MANDARL,535547,principalrjcmakkuva[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655414/12,4655414,22/12/2025 16:31,1992
******00102 Operational,,(24058) GOVT JUNIOR COLLEGE PPM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Parvathipuram (M) - Ward No.15,Parvathipuram-Municipality,opp MPDOs office Parvatipuram,535501,principalgjcpvp[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655176/12,4655176,26/12/2025 14:33,1992
******00103 Operational,,(24059) PSM VASAVI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Parvathipuram (M) - Ward No.28,Parvathipuram-Municipality,KOTA ROAD PARVATHIPURAM,535501,gmdpgc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655177/12,4655177,26/12/2025 14:33,1992
******00104 Operational,,(24060) BHASKAR JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Parvathipuram (M) - Ward No.14,Parvathipuram-Municipality,Bypass road belagam parvatipuram,535501,bjcollege2015[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655178/12,4655178,26/12/2025 14:34,1992
******01620 Permanently Closed,,(24065) SRI RAMA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Parvathipuram (M) - Ward No.4,Parvathipuram-Municipality,NA,535501,,https://kys.udiseplus.gov.in/#/schooldetail/4714032/12,4714032,15/10/2020 12:18,1992
******05414 Operational,,(24074) GOVT JUNIOR COLLEGE KOMARADA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Komarada,Komarada,,,juniour college Komarada,535521,,https://kys.udiseplus.gov.in/#/schooldetail/4654573/12,4654573,24/12/2025 15:24,1992
******00102 Operational,,(24086) GOVT. JR. COLLEGE SALURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.12,Salur-Municipality,THOTA VEEDHI SALURU,535591,gjcsaluru24086[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655708/12,4655708,24/06/2021 17:18,1992
******08604 Operational,,(24087) SRI VASAVI JR.COLLEGE SALURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.26,Salur-Municipality,DANDIGAM ROAD SV COLONY SALUR,535250,srivasavisalur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655856/12,4655856,15/10/2020 12:18,1992
******00103 Operational,,(24088) SRI SATYA SAI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.7,Salur-Municipality,shivalayam road salur,535591,gowriprasad297[at]gmail[dot]co,https://kys.udiseplus.gov.in/#/schooldetail/4655709/12,4655709,30/06/2025 12:02,1992
******00104 Operational,,(24089) LNA LIONS CLUB JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.8,Salur-Municipality,KOTA VEEDHI JEYPORE ROAD SALURU,535591,lnalions2002[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4714067/12,4714067,10/08/2023 15:06,1992
******00105 Operational,,(24091) VENKATESWARA V JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.23,Salur-Municipality,dandigam road salur,535591,jagadeswararaov[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655710/12,4655710,25/06/2021 07:20,1992
******00106 Permanently Closed,,(24092) VLN PK MEMORIAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.7,Salur-Municipality,NA,535591,,https://kys.udiseplus.gov.in/#/schooldetail/4714068/12,4714068,15/10/2020 12:18,1992
******91066 Operational,,(24093) VIVEKANANDA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Salur (M) - Ward No.23,Salur-Municipality,Official colony court road Salur,535591,vivekanandajuniorcollegesalur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655911/12,4655911,15/10/2020 12:18,1992
******01408 Operational,,(24101) GOVT. JR. COLLEGE PACHIPENTA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Pachipenta,Pachipenta,,,kummara street pachipenta,535592,gjc.pachipenta[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655960/12,4655960,24/06/2021 17:21,1992
******00706 Operational,,(24102) APTWR JUNIOR COLLEGE(BOYS),,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,1-Boys,1-Rural,Pachipenta,Panasapeddikona Valasa,,,APTWR JR COLLEGE BOYS P KONAVALASA PACHIPENTA MANDAL VIZIANAGARAM DIST,535592,meo_pcp[at]yahoo[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4655939/12,4655939,26/09/2024 10:30,1992
******00705 Operational,,(24103) APTWR JUNIOR COLLEGE(GIRLS),,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,2-Girls,1-Rural,Pachipenta,Panasapeddikona Valasa,,,PKONAVLASA PACHIPENTA MANDAL,535592,rjcg.pkv[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655938/12,4655938,15/10/2020 12:18,1992
******00102 Operational,,(24104) LAXMI GANAPATHI V JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Pachipenta,Pachipenta,,,MAIN ROAD PACHIPENTA OPP GJC COLLEGE,535592,lgvoc.pcp[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655924/12,4655924,29/06/2024 12:19,1992
******05824 Operational,,(24198) GOVT. JR. COLLEGE KURUPAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Kurupam,Kurupam,,,HUKUMPETA KURUPAM,535524,principalgjckpm[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654937/12,4654937,24/06/2021 13:18,1992
******00709 Operational,,(24199) GOVT JUNIOR COLLEGE CHINAMERANGI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Jiyyammavalasa,Chinamerangi,,,chinamerang village Jiyyammavalasa mandal,535526,principalgjcchinamerangi[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655025/12,4655025,24/06/2021 13:21,1992
******05825 Operational,,(24200) MAHALAXMI VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kurupam,Kurupam,,,COLLEGE ROAD KURUPAM,535524,pavanthamarakandi[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654938/12,4654938,15/10/2020 12:18,1992
******04610 Operational,,(24201) VIJAYARAMARAJU V JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Jiyyammavalasa,Jiyyammavalasa,,,JIYYAMMMAVALASA,535526,principalvjrvoc1234[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655085/12,4655085,15/10/2020 12:18,1992
******07610 Operational,,(24224) APTWRS(BOYS) JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,1-Boys,1-Rural,Gummalakshmipuram,Pirthani @ Elwinpeta,,,APTWRJC BHADRAGIRI GLPURAM,535523,rjcb.bhd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654750/12,4654750,31/12/2025 12:41,1992
******07612 Operational,,(24225) APTWR JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,2-Girls,1-Rural,Gummalakshmipuram,Pirthani @ Elwinpeta,,,APTWRJC GIRLS BHADRAGIRI VIZIANAGARAM DIST,535523,rjcg.bhd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654752/12,4654752,31/12/2025 12:40,1992
******07611 Operational,,(24226) GOVT JUNIOR COLLEGE G L PURAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Gummalakshmipuram,Pirthani @ Elwinpeta,,,ELWINPETA GL PURAM VIZIANAGARAM,535523,gjcst.glpuram123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654751/12,4654751,31/12/2025 12:41,1992
******07613 Operational,,(24227) RAJIV GANDHI V JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Gummalakshmipuram,Pirthani @ Elwinpeta,,,ELWINPETA GLPURAM PARVATHIPURAM,535523,krnrdy[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654575/12,4654575,31/12/2025 12:40,1992
******07614 Operational,,(24228) SARADHI VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Gummalakshmipuram,Pirthani @ Elwinpeta,,,ELWINPETA NEAR POLIC STATION GUMMLAKSHMIPURAM,535523,saradhivoc24228[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654576/12,4654576,31/12/2025 12:40,1992
******90947 Closed,Closed,ADITYA PUBLIC.SCHOOL,,,,Andhra Pradesh,2-Primary with Upper Primary,38-Pvt.Unaided,1 To 7,3-Co-educational,2-Urban,NA,,Parvathipuram (M) - Ward No.17,Parvathipuram-Municipality,KOTHABELAGAM PARVATHI PURAM KOTHABELAGAM(VILL) PARVATHIPURAM(MANDAL) VIZIANAGARAM (DIST),535501,Sudhasmitha123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4655331/12,4655331,22/07/2024 13:18,1992
******07603 Operational,,AIDED ES CHINATALAGUDA ST,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Gummalakshmipuram,,,CHINTALAGUDA ST G.L.PURAM GL PURAM PARVATHIPURAM MANYAM,535523,mrcglpm[at]yahoo[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654745/12,4654745,26/12/2025 11:23,1992
******08601 Permanently Closed,,AIDED P S BODDIDI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Boddidi,,,NA,535523,,https://kys.udiseplus.gov.in/#/schooldetail/4654764/12,4654764,15/10/2020 12:18,1992
******02501 Closed,Closed,AIDED P S BOTHILI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Bothili,,,BOTHILI BOTHILI(V) BOTHILI(VILL) KURAPAM(MANDAL) VIZIANAGARAM (DIST),535534,,https://kys.udiseplus.gov.in/#/schooldetail/4654865/12,4654865,30/01/2023 17:12,1992
******03401 Operational,,AIDED P S CHEMUDUGUDA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Chemuduguda,,,CHEMUDUGUDA CH GUDA(VILL) GOTALPADAR(POST) CHEMUDUGUDA(VILL) G.L.PURAM(MANDAL) MANYAM,535523,sch28120203401[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654687/12,4654687,26/12/2025 12:04,1992
******02002 Permanently Closed,,AIDED PS CHILAKALAPALLE,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,9-NA,NA,,,,NA,535557,,https://kys.udiseplus.gov.in/#/schooldetail/4655535/12,4655535,15/10/2020 12:18,1992
******02401 Permanently Closed,,AIDED PS DABBAGADDA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Makkuva,Dabbagadda,,,NA,535527,,https://kys.udiseplus.gov.in/#/schooldetail/4714042/12,4714042,15/10/2020 12:18,1992
******00701 Operational,,AIDED P S DHULIKUPPA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Dhulikuppa,,,DHULIKUPPA VILLAGE KURUPAM MANDAL,535534,venkatanaidu.mantrabuddi123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654830/12,4654830,24/12/2025 16:50,1992
******02801 Operational,,AIDED P S DONGALA BARAMANI,,,,Andhra Pradesh,1-Primary,10-State Govt.,1 To 5,3-Co-educational,1-Rural,Kurupam,Dongalabaramani,,,DONGALABARAMANI D BARAMANI (V) GUJJIVWAI(PO) DONGALABARAMANI(VILL) KURAPAM(MANDAL) VIZIANAGARAM (DIST),535534,hmdbaramani2801[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654872/12,4654872,29/07/2024 18:21,1992
******01701 Permanently Closed,,AIDED P S DUMMANGI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Dummangi,,,NA,NA,,https://kys.udiseplus.gov.in/#/schooldetail/4654661/12,4654661,15/10/2020 12:18,1992
******00402 Operational,,AIDED P S GUMMA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Gumma,,,GUMMA GUMMA VILLAGE KURAPAM MANDAL,535524,meo_kpm[at]ymail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654825/12,4654825,24/12/2025 16:48,1992
******06201 Permanently Closed,,AIDED PS KOTHAVALASA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Salur,Kothavalasa,,,KOTHAVALASA KOTHAVALASA (VILL) KOTHAVALASA(VILL) SALURU(MANDAL) VIZIANAGARAM (DIST),535591,,https://kys.udiseplus.gov.in/#/schooldetail/4655816/12,4655816,04/01/2024 13:02,1992
******02001 Operational,,AIDED P S KUKKIDI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Kukkidi,,,KUKKIDI KUKKIDI (VILL POST) KUKKIDI(VILL) G.L.PURAM(MANDAL) VIZIANAGARAM (DIST),535523,mrcglpm[at]yahoo[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654667/12,4654667,31/12/2025 10:40,1992
******04501 Operational,,AIDED P S LANDAGORLI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Landagorli,,,LANDAGORLI LANDAGORLI (VILL) VIA RK BAI LANDAGORLI(VILL) KURAPAM(MANDAL) VIZIANAGARAM (DIST),535523,aeslandagorli[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654905/12,4654905,08/01/2026 11:16,1992
******02001 Closed,Closed,AIDED P S MARRIPALLE,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Maripalle (Near) Mondemkhallu,,,MARIPALLE (NEAR RAJJAL) MARIPALLE(V&BO) MNDEMKULLU(SO) MARIPALLE (NEARMODEMKALLU) KURAPAM(MANDAL) VIZIANAGARAM (DIST),535534,biddikamatcha04[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654861/12,4654861,30/01/2023 17:12,1992
******02603 Permanently Closed,,AIDED PS METTAVALASA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Salur,Thonam,,,METTAVALASA THONAM (VILL) THONAM(VILL) SALURU(MANDAL) VIZIANAGARAM (DIST),535593,meosalur[at]yahoo[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4655751/12,4655751,04/01/2024 13:02,1992
******04601 Operational,,AIDED P S NERADUVALASA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Kurupam,Thennukharja,,,NEREDIVALASA TN KHARJA(V) BUDEMAKHARJA(BPO) THENNUKHARJA(VILL) KURAPAM(MANDAL) VIZIANAGARAM (DIST),535524,meo_kpm[at]ymail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654907/12,4654907,15/10/2020 12:18,1992
******10202 Closed,Closed,AIDED PS P AMITI,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Gummalakshmipuram,Amiti,,,P.AMITI P.AMITI (VILL) AMITI(VILL) G.L.PURAM(MANDAL) VIZIANAGARAM (DIST),535523,mrcglpm[at]yahoo[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4654785/12,4654785,08/01/2024 10:12,1992
******00401 Permanently Closed,,AIDED PS PEDASEKHA,,,,Andhra Pradesh,1-Primary,35-Pvt.Aided,1 To 5,3-Co-educational,1-Rural,Komarada,Pedasekha,,,NA,535521,,https://kys.udiseplus.gov.in/#/schooldetail/4654511/12,4654511,15/10/2020 12:18,1992
