udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******95725 Operational,,(03022) RAJAMAHENDRI JR COLLEGE FOR WOMEN,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.34,Rajahmundry-Municipal Corporations,20-23-5/2 seshayya metta,533104,rajamahendri.college[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666495/12,4666495,26/06/2021 20:27,1983
******00427 Permanently Closed,,(03023) RUPA VOCATIONAL JUNIOR COLLEGE RAJANAGARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Rajanagaram,,,NA,533294,,https://kys.udiseplus.gov.in/#/schooldetail/4714797/12,4714797,15/10/2020 12:18,1983
******95749 Operational,,(03025) SRI CHAITANYA Jr. KALASALA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.7,Rajahmundry-Municipal Corporations,"MORAMPUDI,RAJAHMUNDRY",533103,srichaitanyaboard[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666508/12,4666508,21/07/2022 11:31,1983
******95746 Operational,,(03026) MEGA Jr.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.7,Rajahmundry-Municipal Corporations,26-2-8JAYAKRISHNAPURAM RAJAMAHENDRAVARAM,533105,megajrcollege99[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666121/12,4666121,26/06/2021 20:32,1983
******95726 Operational,,(03031) PRAGATI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.34,Rajahmundry-Municipal Corporations,17-24-8/2 Seethempeta,533104,pjc.rjy[at]pragatigroup[dot]org,https://kys.udiseplus.gov.in/#/schooldetail/4666496/12,4666496,16/02/2026 14:29,1983
******00249 Operational,,(03032) VAGDEVI JR COLLEGE KADIAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kadiam,Kadiam,,,NEAR SIVALAYAM KADIAM KADIAM MANDAL EAST GODAVARI DIST,533126,vagdevijuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666571/12,4666571,16/12/2023 16:17,1983
******95728 Operational,,(03033) AKC JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.8,Rajahmundry-Municipal Corporations,JNROADRAJAMAHENDRAVARAM,533103,akccollege2012[at]gmial[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666497/12,4666497,21/07/2022 11:05,1983
******95729 Operational,,(03034) SRI CHAITANYA JUNIOR KALASALA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.10,Rajahmundry-Municipal Corporations,VL PURAM RAJAHMUNDRY,533103,board_rjy[at]srichaitanyacollege[dot]net,https://kys.udiseplus.gov.in/#/schooldetail/4666498/12,4666498,16/02/2026 14:29,1983
******95730 Operational,,(03035) SRI CHAITANYA JUNIOR KALASALA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.12,Rajahmundry-Municipal Corporations,dno 75-1-4 prakash nagar rajhmundry,533103,reddy.avsn[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666499/12,4666499,16/02/2026 14:30,1983
******90342 Operational,,(03036) GOVT Jr.COLLEGE DOWLAISWARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,Govt Junior College Main Road Dowlaiswaram E G Dt,533125,gjc1.dwm[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666235/12,4666235,16/02/2026 14:24,1983
******95731 Operational,,(03038) NARAYANA JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.30,Rajahmundry-Municipal Corporations,DRNO 46-21-1 DANAVAIPETA RAJAHMUNDRY 533103,533103,rjdco21[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666500/12,4666500,23/01/2026 17:37,1983
******90339 Operational,,(03040) SRI RAJA VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,"D.No.12-4-6/1, Aryapuram, Rajahmundry",533105,srirajavjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666233/12,4666233,23/12/2025 13:43,1983
******00421 Permanently Closed,,(03041) RATNAM VOCATIONAL JUNIOR COLLEGE KOTHATHUNGAPADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Patha Thungapadu,,,NA,533341,,https://kys.udiseplus.gov.in/#/schooldetail/4666041/12,4666041,15/10/2020 12:18,1983
******95745 Operational,,(03045) SRI VIJAYA DURGA Jr.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.11,Rajahmundry-Municipal Corporations,"BESIDE SKR WOMENS COLLEGE ,GANDHIPURAM",533103,sreevijayadurga[at]rocketmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666120/12,4666120,23/12/2023 10:49,1983
******95748 Permanently Closed,,(03047) SRI MEDHA Jr.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.10,Rajahmundry-Municipal Corporations,NA,533103,,https://kys.udiseplus.gov.in/#/schooldetail/4666507/12,4666507,15/10/2020 12:18,1983
******00116 Operational,,(03072) AVYA VOCATIONAL JR COLLEGE K.LANKA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kadiam,Kadiam,,,"MAIN ROAD, BURRILANKA",533126,saipraveen.mudara[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666533/12,4666533,18/12/2023 13:45,1983
******90404 Operational,,(03073) TIRUMALA JUNIOR COLLAGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,KATHERU RAJAHMUNDRY RURAL,533105,tirumala.katheru[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666240/12,4666240,23/12/2025 13:47,1983
******90405 Operational,,(03108) TIRUMALA JUNIOR KALASALA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,KATHERU RAJAHMUNDRY RURAL,533105,tirumala.katheru[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666241/12,4666241,23/12/2025 13:47,1983
******00335 Operational,,(03210) SMT. B.S.R.JR.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Gokavaram,Gokavaram,,,1-42 Gokavaram East Godavari Dt - 533 286,533286,sbsrdcjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664808/12,4664808,16/02/2026 14:25,1983
******00330 Operational,,(03211) GOVT. JR. COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Gokavaram,Gokavaram,,,GOVT JR COLLEGE GOKAVARAM,533286,-gjcgokavaram[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664805/12,4664805,28/06/2022 11:24,1983
******00626 Operational,,(03212) GOVT. JR.COLLEGE KORUKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Korukonda,Korukonda,,,MAIN ROAD KORUKONDA,533289,gjckorukonda[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664723/12,4664723,29/06/2022 10:58,1983
******00104 Operational,,(03214) SRUJANA MODEL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Korukonda,Korukonda,,,west gonagudem,533289,srujanamodeljrc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664687/12,4664687,26/06/2021 20:46,1983
******00628 Operational,,(03216) SRI RAJA VOCATIONAL JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Korukonda,Korukonda,,,MAIN ROAD KORUKONDA,533289,srirajavjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664724/12,4664724,15/10/2020 12:18,1983
******00331 Operational,,(03217) S D S T D VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Gokavaram,Gokavaram,,,near padmapriya dheater,533286,gokavaramkvs[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664806/12,4664806,16/02/2026 14:20,1983
******00332 Operational,,(03218) SRI HARSHA PRIYA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Gokavaram,Gokavaram,,,TORREDU RAJAMAHENDRAVARAM RURAL,533293,tirumala.thorredu[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664807/12,4664807,16/02/2026 14:21,1983
******00716 Operational,,(03366) GOVT.JR.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Seethanagaram,Seethanagaram,,,NEAR MPDO OFFICE SEETHNAGARAM,533287,gjcseethaeastgodavari8[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4664635/12,4664635,26/06/2021 17:02,1983
******00238 Operational,,(03439) DR BRAC SW Res JUNIOR COLLEGE (B) KOTHURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,24-APSWREI Society Schools,11 To 12,1-Boys,1-Rural,Anaparthy,Anaparthy,,,Kothuru-533342 industrial area kapavaram road,533342,kotturu.principal[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666772/12,4666772,20/12/2025 11:42,1983
******00237 Operational,,(03441) MNR JUNIOR COLLEGE ANAPARTHI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Anaparthy,Anaparthy,,,CANAL ROAD-ANAPARTHI,533342,mnrjc2001[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666771/12,4666771,20/12/2025 11:42,1983
******00236 Operational,,(03442) G B R JUNIOR COLLEGE ANAPARTHI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Anaparthy,Anaparthy,,,DNO4-263 RAJANAGARM ROAD ANAPARTHI,533342,gbrjuniorcollege03442anaparthi[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666770/12,4666770,20/12/2025 11:42,1983
******00426 Operational,,(03536) JYOTI VOCATIONAL JUNIOR COLLEGE RAJANAGARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Rajanagaram,,,Near NTR staru Suryaraopata Rajahnagaram,533294,prince.gogulamanda[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666044/12,4666044,26/06/2021 21:00,1983
******00613 Operational,,(03542) GOVT. JR. COLLEGE MURAMANDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Kadiam,Muramanda,,,AMG Nagar muramanda kadiam mandal East Gdavari Dist,533126,gjc03542[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666611/12,4666611,26/06/2021 21:18,1983
******00312 Operational,,(03566) GOVT. JR.COLLEGE RANGAMPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Rangampeta,Rangampeta,,,RANGAMPETA PIN -533291,533291,prlgjcrpt[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4665916/12,4665916,26/09/2024 10:42,1983
******01314 Operational,,(03567) RATNAM JUNIOR COLLEGE P.T.PADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Patha Thungapadu,,,Ratnam junior college patha tungapadu,533341,ratnam.k69[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4718805/12,4718805,26/06/2021 21:04,1983
******00832 Permanently Closed,,(03568) NARAYANA JUNIOR COLLEGE DIWANCHERUVU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,1-Boys,1-Rural,Rajanagaram,Palacharla,,,NA,533296,,https://kys.udiseplus.gov.in/#/schooldetail/4714801/12,4714801,15/10/2020 12:18,1983
******00425 Operational,,(03569) DIVYA JUNIOR COLLEGE RAJANAGARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Rajanagaram,,,RAJANAGARAM _,533294,djc6999[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666043/12,4666043,20/07/2022 14:52,1983
******00109 Operational,,(04094) SMT. ANNAPURNA JR. COLLEGE VELIVENNU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Undrajavaram,Velivennu,,,main road velivennu village,534329,annapurnajuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4672316/12,4672316,25/07/2024 14:10,1983
******01111 Operational,,(04112) SASI JR. COLLEGE VELIVENNU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Undrajavaram,Velivennu,,,MAIN ROAD VELIVENNU VILLAGE UNDRAJAVARAM MANDAL EAST GODAVARI DIST AP,534329,sjc.vlvn[at]sasi[dot]edu[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4672352/12,4672352,22/07/2022 16:11,1983
******00110 Operational,,(04113) SASI JR. COLLEGE FOR WOMEN VELIVENNU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,1-Rural,Undrajavaram,Velivennu,,,MAIN ROAD VELIVENNU VILALGE UNDRAJAVARAM EAST GODAVARI DIST,534329,sjcw.vlvn[at]sasi[dot]edu[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4672317/12,4672317,21/07/2022 15:44,1983
******01112 Permanently Closed,,(04120) SUNKAVALLI VOC JR. COLLEGE UNDRAJAVARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Undrajavaram,Undrajavaram,,,NA,534216,,https://kys.udiseplus.gov.in/#/schooldetail/4715230/12,4715230,15/10/2020 12:18,1983
******90368 Permanently Closed,,(04189) NARAYANA JR. COLLEGE KOVVUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kovvur (NP) - Ward No.14,Kovvur-Municipality,NA,534350,,https://kys.udiseplus.gov.in/#/schooldetail/4670996/12,4670996,15/10/2020 12:18,1983
******00609 Operational,,(04190) ST. MARY’S NH JR. COLLEGE(G) GOURIPATNAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,1-Rural,Devarapalle,Gowripatnam,,,Gowripatnam devarapalli mandal W G DT,534313,hrudayacollege[at]rediffmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670832/12,4670832,24/06/2021 18:53,1983
******90361 Operational,,(04191) GOVT JR. COLLEGE(B) KOVVUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Kovvur (NP) - Ward No.8,Kovvur-Municipality,Kovuramma Temple Street KOVVUR,534350,gjcboys69[at]yahoo[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4670993/12,4670993,26/12/2025 12:55,1983
******90362 Operational,,(04192) GOVT JR. COLLEGE(G) KOVVUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Kovvur (NP) - Ward No.13,Kovvur-Municipality,BAPUJINAGA KOVVUR EAST GODAVRI DISTRICT,534350,gjcgkvr[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670994/12,4670994,26/12/2025 12:55,1983
******90369 Closed,Closed,(04193) GBB VOC JR. COLLEGE KOVVUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kovvur (NP) - Ward No.13,Kovvur-Municipality,15-5-4/1bapujinagar,534350,brindaprasuna[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670521/12,4670521,25/02/2024 21:00,1983
******01108 Closed,Closed,(04194) SRI CHAITANYA JR. COLLEGE VEMULURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kovvur,Vemuluru,,,4-177deepthi school vemuluru road kovvur,534350,srichaitanyakovvur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670948/12,4670948,12/01/2024 14:09,1983
******90562 Operational,,(04203) GOVT JR. COLLEGE(B) NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole (M) - Ward No.3,Nidadavole-Municipality,NEAR OVER BRIDGE POLICE STATION ROAD,534301,gjcbndd.04203[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670632/12,4670632,19/12/2025 16:48,1983
******90561 Operational,,(04204) GOVT JR. COLLEGE(G) NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Nidadavole (M) - Ward No.3,Nidadavole-Municipality,MRGOVT JUNIOR COLLEGE FOR GIRLS NIDADAVOLE,534301,mrgjcgndd[at]yahoo[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4670631/12,4670631,19/12/2025 16:47,1983
******90579 Permanently Closed,,(04205) P. SARVOTHAM JR. COLLEGE NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole ward no 25,Nidadavole-Municipality,NA,534301,,https://kys.udiseplus.gov.in/#/schooldetail/4715151/12,4715151,15/10/2020 12:18,1983
******00812 Operational,,(04206) BSVR JR. COLLEGE KANURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Peravali,Kanuru,,,DR NO 1-21 PANCHATHI OFFICE STREET KANURU WEST GODAVARI DIST AP 534329,534329,ashokgoud662[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4672406/12,4672406,15/10/2020 12:18,1983
******90580 Permanently Closed,,(04207) SRI VENKATESWARA VOC JR. COLLEGE NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole (M) - Ward No.10,Nidadavole-Municipality,NA,534301,,https://kys.udiseplus.gov.in/#/schooldetail/4715152/12,4715152,15/10/2020 12:18,1983
******90582 Operational,,(04209) VIKAS JR. COLLEGE SAMISRAGUDEM NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Nidadavole,Nidadavole (R),,,NIDADAVOLENIDADAVOLE MANDAL W G DT,534302,vikascollege.junior[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671113/12,4671113,19/12/2025 18:06,1983
******90581 Operational,,(04210) ANNAPURNESWARI VOC JR. COLLEGE NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole (M) - Ward No.11,Nidadavole-Municipality,4-5-38/1 NIDADAVOLU ramnagar beside police station,534301,annamlt092[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671112/12,4671112,19/12/2025 18:06,1983
******90583 Permanently Closed,,(04211) TVR VOC JR. COLLEGE NIDADAVOLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole (M) - Ward No.13,Nidadavole-Municipality,NA,534301,,https://kys.udiseplus.gov.in/#/schooldetail/4715153/12,4715153,15/10/2020 12:18,1983
******90585 Permanently Closed,,(04213) NARAYANA JR. COLLEGE NIDADAVOLE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nidadavole (M) - Ward No.11,Nidadavole-Municipality,NA,534301,,https://kys.udiseplus.gov.in/#/schooldetail/4715154/12,4715154,15/10/2020 12:18,1983
