udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******91319 Operational,,(10033) VASAVI JR.COLEEGE FOR GIRLS,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Kurnool Ward No. 9,Kurnool-Municipal Corporations,53/40 UTTARADHI MUTT ROAD NEAR KING MARKET KURNOOL,518004,vasaviinter10033[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4697146/12,4697146,05/01/2026 15:56,2725
******91333 Operational,,(10036) St.Joseph Jr.College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kurnool,Rudravaram,,,44-19-2 SUNKESALA ROAD KURNOOL ROAD518004,518004,sjjcknl10036[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698223/12,4698223,25/10/2024 19:43,2725
******91337 Operational,,(10040) Sri.Bala Siva Jr.CollegeKurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 1,Kurnool-Municipal Corporations,kurnool M Corp-4 KURNOOL-518004,518004,sbsjc82[at]gmil[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698225/12,4698225,05/01/2026 15:55,2725
******90556 Closed,Closed,(10041) ISLAMIA CO-OP JR.COLLEGEKRISHNA NAGAR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 27,Kurnool-Municipal Corporations,79-130 Krishna nagar kurnool,518002,dallabakash123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699053/12,4699053,09/05/2022 13:36,2725
******91344 Operational,,(10042) NARAYANA JR. COLLEGE KURNOOL,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 12,Kurnool-Municipal Corporations,40-319 KE PLAZA OPP ZP OFFICE KURNOOL,518004,kurnoolbc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698232/12,4698232,25/10/2024 19:43,2725
******91341 Sanctioned but not Operational,,(10044) C.V.Raman Jr.College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 43,Kurnool-Municipal Corporations,opp eedgha kallur kurnool,518004,kurnoolcvramanjuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698227/12,4698227,25/10/2024 19:43,2725
******91348 Operational,,"(10045) NARAYANA JR. COLLEGE GAYATRI ESTATE, KURNOOL",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 25,Kurnool-Municipal Corporations,PLOT NO 4 GAYATHRI ESTATES KURNOOL,518002,kurnoolbs[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698233/12,4698233,21/12/2025 14:22,2725
******91343 Operational,,(10046) Masters Jr. College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 14,Kurnool-Municipal Corporations,49/1-81 maddur nagar kurnool,518002,mmknl2010[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698231/12,4698231,21/12/2025 14:24,2725
******91342 Operational,,"(10047) Narayana Jr.College Soma Arcade, Kurnool",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Kurnool Ward No. 12,Kurnool-Municipal Corporations,D NO 40-319-5 6 SOMAARCADE R S ROAD KURNOOL,518004,-knlboardgc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698230/12,4698230,16/02/2026 15:56,2725
******91339 Operational,,(10050) NARAYANA JR. COLLEGE KURNOOL,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 25,Kurnool-Municipal Corporations,40-829/bplot no4,518002,knliitN120[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698226/12,4698226,25/10/2024 19:43,2725
******91350 Operational,,(10051) Govt. Vocational Jr.College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 22,Kurnool-Municipal Corporations,B CAMP KURNOOL DISTRICT,518002,principal.gvjc.kurnool1[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698236/12,4698236,21/12/2025 14:31,2725
******91345 Permanently Closed,,(10053) Sri Sai Yuktha Jr.College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,9-NA,NA,,,,NA,518001,,https://kys.udiseplus.gov.in/#/schooldetail/4717333/12,4717333,25/10/2024 19:43,2725
******02505 Operational,,(10054) Govt. Jr collegekowthalam,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Kowthalam,Kowthalam,,,Govt Jr College kowthalam kurnool dist,518344,pplgjcktl[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4697573/12,4697573,16/02/2026 15:55,2725
******02815 Operational,,(10055) The Adoni Arts and Science Jr.College,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Adoni,Mandagiri (Rural),,,THE ADONI ARTS AND SCIENCE COLLEGE ADONI YEMMIGANUR ROAD ADONI,518302,adonicollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699524/12,4699524,29/06/2022 17:39,2725
******02821 Operational,,(10056) Noble Vocational Jr.College Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,4/343-C BESIDE C R CHURCH RAMAJALA ROAD ADONI,518301,noblevocationaljrcollegeadoni[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698464/12,4698464,16/02/2026 15:59,2725
******02822 Operational,,(10057) Vivekananda Jr.College Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,NGOs COLONY ADONI-518302 KURNOOL DT,518302,vjcadn[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698465/12,4698465,25/06/2021 16:13,2725
******91352 Operational,,(10058) SRI BALAJI Jr.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,RAMAJALA ROAD ADONI,518301,hanuvedha73[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699706/12,4699706,25/06/2021 16:14,2725
******01912 Operational,,(10060) GOVT JUNIOR COLLEGEASPARI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Aspari,Aspari,,,Near BSNL Office Aspari-518347 Kurnool District,518347,gjcaspari10060[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699910/12,4699910,21/12/2025 12:20,2725
******91351 Operational,,(10061) NARAYANA Jr.COLLEGE ADONI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,ambedkar nagar adoni,518301,njcadoni[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4717420/12,4717420,30/08/2024 15:40,2725
******02816 Operational,,(10067) Viswanarayana Jr.College Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Adoni,Mandagiri (Rural),,,SBI-1SREERAM NAGAR COLONY YGR RAOD ADONI-02,518302,vnjcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699525/12,4699525,16/02/2026 15:58,2725
******02817 Operational,,(10068) Dr.Jyothirmai Memorial Jr.College Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,21/134-1B/1A S K D COLONY ADONI,518301,jyothirmayijr10068[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699526/12,4699526,27/09/2024 16:29,2725
******02818 Operational,,(10069) Sai Jr.College SKD Colony Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.17,Adoni-Municipality,21/143-12 SKD COLONY ZERO ROAD ADONI,518301,sjc10069adoni[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699527/12,4699527,25/06/2021 16:13,2725
******02819 Permanently Closed,,(10070) T.G.Prahlada chetty Jr.College Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.6,Adoni-Municipality,NA,518301,,https://kys.udiseplus.gov.in/#/schooldetail/4717413/12,4717413,15/10/2020 12:18,2725
******02813 Operational,,(10071) Govt. Jr.College for Girls Adoni,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Adoni (M) - Ward No.21,Adoni-Municipality,5th Road SKD Colony Adhoni,518301,prinicpal.gjcg.adoni[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699523/12,4699523,25/11/2023 09:35,2725
******91349 Operational,,(10074) NATIONAL Jr.COLLEGE ADONI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.21,Adoni-Municipality,211/A HIG-70 APHB COLONY,518301,nationaljrcollege10074[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699704/12,4699704,16/02/2026 16:00,2725
******91332 Operational,,(10075) SRI CHAITANYA JR COOLEGEBHASKAR NAGAR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 13,Kurnool-Municipal Corporations,"H NO 40/304, BHAGYA NAGAR. KURNOOL",518004,srichaitanya10075[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698222/12,4698222,25/10/2024 19:43,2725
******91390 Operational,,(10076) SRI CHITHANYA JR.COOLEGE B.THANDRAPADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kurnool,B. Thandrapadu (Og),,,H NO - 40/304 BHAGYA NAGAR KURNOOL,518004,srichaitanya10076[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698254/12,4698254,29/12/2025 11:55,2725
******91391 Operational,,(10077) SRI CHITHANYA JR.COOLEGE B.THANDRAPADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kurnool,B. Thandrapadu (Og),,,191/A1 B THANDRAPADU,518002,srichaitanya10077[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698255/12,4698255,29/12/2025 11:57,2725
******91334 Operational,,(10078) SRI CHAITANYA JRCOLLEGEBHASKAR NAGAR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 13,Kurnool-Municipal Corporations,191/4 BTHANDRAPADU KURNOOL,518007,srichaitanya10078[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698224/12,4698224,05/01/2026 15:53,2725
******00119 Operational,,"(10081) NARAYANA JR. COLLEGE, NANOOR,",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Orvakal,Nannur,,,syno1164 Nannur Orvakal kurnool,518002,knlbts123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4719566/12,4719566,30/08/2024 15:40,2725
******00655 Operational,,"(10097)-MOTION JUNIOR COLLEGE, KURNOOL",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.13,Nandyal-Municipality,25-692- 25-692-A TTD ROAD - NANDYAL,518502,motionkurnoolcenter[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699303/12,4699303,21/12/2025 14:39,2725
******91350 Operational,,(10101) AKSHARA Jr.COLLEGE ADONI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,"21/39/6,21/39/7, S K D COLONY 3rd Road Adoni",518301,aksharasreeb4u[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699705/12,4699705,08/10/2024 11:06,2725
******91348 Permanently Closed,,(10114) SRI MEDHA JR.COLLEGE ADONI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Adoni,Mandagiri (Rural),,,NA,518302,,https://kys.udiseplus.gov.in/#/schooldetail/4717419/12,4717419,15/10/2020 12:18,2725
******91505 Operational,,"(10116)-NARAYANA JUNIOR COLLEGE,SAMEERA REDHILLS, NANOOR,ORVAKAL",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Orvakal,Nannur,,,Plot No 95 to 105 yellakuri banglow kurnool,518006,narayana10116[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4719551/12,4719551,23/12/2025 15:05,2725
******91359 Operational,,(10117) PADMAVATHI VOCATIONAL.Jr.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Adoni (M) - Ward No.1,Adoni-Municipality,22/251 postal colony s r nagar sadapuram,518302,padmavathivocationaljrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699713/12,4699713,25/06/2021 16:15,2725
******00257 Operational,,(10175) NALANDA JR COLLEDE YEMMIGANUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Yemmiganur (M) - Ward No.1,Yemmiganur-Municipality,1/1396 HBS Colony Yemmiganur,518360,nalandajuniorcollege234[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699262/12,4699262,15/10/2020 12:18,2725
******01009 Permanently Closed,,(10176) SANJEEVI JUNIOR COLLEGE HANUMAPURAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Peddakadabur,H Murvari,,,NA,518360,,https://kys.udiseplus.gov.in/#/schooldetail/4717410/12,4717410,15/10/2020 12:18,2725
******00255 Operational,,(10177) GOVT.JR.COLLEGE YEMMIGANUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Yemmiganur (M) - Ward No.1,Yemmiganur-Municipality,GANDHI NAGAR YEMMIGANUR,518360,principal.gjcb.yemmiganur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699260/12,4699260,30/08/2024 15:09,2725
******00256 Operational,,(10178) Govt. Jr.College for Girls Yemmiganur,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Yemmiganur (M) - Ward No.1,Yemmiganur-Municipality,NEAR HEAD POST OFFICE YEMMIGANUR 518360,518360,principal.gjcg.yemmiganur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699261/12,4699261,25/06/2021 17:39,2725
******00259 Operational,,(10180) Vyshnavi Jr.College Yemmiganur,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Yemmiganur Ward No. 23,Yemmiganur-Municipality,VYSHNAVI JUNIOR COLLEGE D NO 10 BAR 220 KONDAVEETI PRANTHAM MALLARI STREET YEMMIGANUR 518360,518360,vjcygr180[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699263/12,4699263,16/12/2023 17:14,2725
******00264 Operational,,(10181) NARAYANA JUNIOR COLLEGE YEMMIGANUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Yemmiganur Ward No. 26,Yemmiganur-Municipality,HNO 1/2016/1 PARK ROAD YEMMIGANUR 518360,518360,yemmiganur.njc463[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699265/12,4699265,25/06/2021 17:40,2725
******00263 Operational,,(10188) SMT THIRUPATHAMMA MAHILA JR COLLEGE YEMMIGANUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Yemmiganur Ward No. 21,Yemmiganur-Municipality,1/1515 gandhi nagar,518360,thirupathammajuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698229/12,4698229,15/10/2020 12:18,2725
******01708 Operational,,(10189) APRJC Jr.College (Girls) Banavasi,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,12-APREI Society Schools,11 To 12,2-Girls,1-Rural,Yemmiganur,Banavasi,,,APR JUNIOR COLLEGE FOR GIRLS BANAVASI VILLAGE YEMMIGANUR MANDAL KURNOOL DISTRICT,518360,aprjcbanavasi[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699335/12,4699335,28/10/2024 14:20,2725
******01419 Operational,,(10211) GOVT.JR.COLLEGE ALURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Alur,Alur,,,GOVERNMENT JUNIOR COLLEGE ALUR NERA OLD BUSTAND,518395,principal.gjc.aluru[at]gmal[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698752/12,4698752,22/12/2025 13:01,2725
******01420 Closed,Closed,(10212) APSWR Jr.College for Boys Allur,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,24-APSWREI Society Schools,11 To 12,1-Boys,1-Rural,Alur,Alur,,,HNO-1-1 DEVARAGATTU ROAD ARIKERA,518395,prl.knl.arikera2[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698753/12,4698753,08/02/2024 17:15,2725
******00817 Closed,Closed,(10223) Lakshmi Narasimha and Sri Shiridi Jr.College Maddikera,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Maddikera (East),Maddikera (East),,,21-24-100-2 sai nagar,518385,MYAGNAM9885[at]GMAIL[dot]COM,https://kys.udiseplus.gov.in/#/schooldetail/4700783/12,4700783,06/08/2024 22:11,2725
******00506 Operational,,(10224) GOVT.JR.COLLEGE PATTIKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Pattikonda,Pattikonda,,,OPP RB GUEST HOUSE GOOTY ROAD PATHIKONDA,518380,principal.gjc.pathikonda[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4701842/12,4701842,26/06/2021 10:19,2725
******00716 Operational,,(10225) A.S.Junior College Tuggali,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Tuggali,Tuggali,,,Near Substation Tuggali A S Junior college Tuggali,518390,gvreddy414[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4701783/12,4701783,15/10/2020 12:18,2725
******00752 Closed,Closed,(10226) ABHUDAYA MAHILA JR COLLEGE PATTIKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,1-Rural,Pattikonda,Pattikonda,,,kurnool road pattikonda,518380,viswan655[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4701883/12,4701883,16/12/2023 10:23,2725
******01213 Operational,,(10235) Govt. Jr.College Devanakonda,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Devanakonda,Devanakonda,,,GOVT JUNIOR COLLEGE DEVANAKONDA,518465,gjcdkd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699976/12,4699976,23/12/2025 17:10,2725
******00245 Operational,,10291-ROOTS GLOBAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Veldurthi,Veldurthi,,,"ACHARYA JUNIOR COLLEGE, ADONI",518003,acharyajuniorcollege2023[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4720659/12,4720659,22/12/2025 12:52,2725
******01035 Operational,,(10294) Govt. Jr.College Veldurthy,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Veldurthi,Veldurthi,,,near zphs boys school,518216,principal.gjc.veldurthy[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4700091/12,4700091,29/06/2022 11:52,2725
******00117 Operational,,(10321)-NARAYANA JR COLLEGE NANNOOR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Orvakal,Nannur,,,PLOT NO 13 RAGAMYURI GREEN HILLS,518002,rmgkurnool[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4719565/12,4719565,30/08/2024 15:40,2725
******00341 Operational,,(10353) GOVT.JR.COLLEGE KODUMUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Kodumur,Kodumur,,,Yemmiganur road kodumur mandal,518464,principal.gjc.kodumur[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699128/12,4699128,10/05/2022 10:53,2725
